model,score,auroc,ci_lo,ci_hi,n
dnsmos,ensemble_loo_disagreement,0.4688299232736573,0.39833431733058494,0.5420469549212119,364
dnsmos,mos_extremity,0.47298593350383633,0.4064544957565854,0.5414476554107632,364
nisqa,ensemble_loo_disagreement,0.5277341705913134,0.45698901256748864,0.5951188965756508,364
nisqa,mos_extremity,0.44086865515436946,0.36684686114381326,0.5098148846004567,364
utmos,ensemble_loo_disagreement,0.7348145780051151,0.6785388335118198,0.7904912024676831,364
utmos,mos_extremity,0.5498721227621484,0.49041671427639827,0.6088464655748662,364
