model,dataset,score,auroc,ci_lo,ci_hi,n
nisqa,nisqa_test_for,mos_extremity,0.384537037037037,0.2882870404340964,0.49018182598860477,240
nisqa,nisqa_test_for,ensemble_loo_disagreement,0.6473148148148149,0.5568259060088847,0.741730056766296,240
nisqa,nisqa_test_for,ensemble_std,0.49472222222222223,0.3971178980866338,0.597696161740074,240
utmos,nisqa_test_for,mahalanobis,0.5094444444444444,0.40940187847274795,0.6128612921318058,240
utmos,nisqa_test_for,l2,0.4119444444444445,0.3024041193266137,0.5261639838688108,240
utmos,nisqa_test_for,knn,0.5368518518518519,0.43805189270359934,0.6437507554945056,240
utmos,nisqa_test_for,mos_extremity,0.41000000000000003,0.2987920870325531,0.5331596729683027,240
utmos,nisqa_test_for,ensemble_loo_disagreement,0.5916666666666666,0.47726535208883747,0.6920664600918901,240
utmos,nisqa_test_for,ensemble_std,0.4400925925925926,0.3422327546203986,0.5358194372905216,240
dnsmos,nisqa_test_livetalk,mahalanobis,0.5129805786761792,0.39583522058447207,0.6335372391991071,232
dnsmos,nisqa_test_livetalk,l2,0.46551724137931033,0.36333349996429337,0.5728824454712009,232
dnsmos,nisqa_test_livetalk,knn,0.4247919143876338,0.3129808755687563,0.5454990084460707,232
dnsmos,nisqa_test_livetalk,mos_extremity,0.439556084026952,0.3380884643237106,0.5398691320848115,232
dnsmos,nisqa_test_livetalk,ensemble_loo_disagreement,0.5503369005152595,0.4199179374079226,0.673723730753225,232
dnsmos,nisqa_test_livetalk,ensemble_std,0.5427070947284979,0.4284773169538794,0.6617622093165084,232
nisqa,nisqa_test_livetalk,mahalanobis,0.5719381688466113,0.4473376324274529,0.6906477433528078,232
nisqa,nisqa_test_livetalk,l2,0.58115338882283,0.46402098071026415,0.6945082208493666,232
nisqa,nisqa_test_livetalk,knn,0.5219976218787159,0.4221864705120694,0.6285077065028807,232
nisqa,nisqa_test_livetalk,mos_extremity,0.4721561632976615,0.3705024945091416,0.5811756483752514,232
nisqa,nisqa_test_livetalk,ensemble_loo_disagreement,0.41954022988505746,0.34096315181884673,0.5039764424488757,232
nisqa,nisqa_test_livetalk,ensemble_std,0.35701545778834715,0.2688733792249417,0.4507093696064284,232
utmos,nisqa_test_livetalk,mahalanobis,0.42281014665081257,0.33622062211427445,0.5065191015921093,232
utmos,nisqa_test_livetalk,l2,0.37237415774871185,0.2688266546516103,0.48509361843430426,232
utmos,nisqa_test_livetalk,knn,0.4346016646848989,0.34907162144609105,0.5236112411568873,232
utmos,nisqa_test_livetalk,mos_extremity,0.3830757035275466,0.2827285275845669,0.49100866384052694,232
utmos,nisqa_test_livetalk,ensemble_loo_disagreement,0.6176179151803408,0.5027453915688374,0.7151487379497432,232
utmos,nisqa_test_livetalk,ensemble_std,0.5017835909631392,0.395268779277356,0.6000449116855366,232
dnsmos,nisqa_test_p501,mahalanobis,0.4274074074074074,0.32722360406790874,0.5321021554252212,240
dnsmos,nisqa_test_p501,l2,0.339537037037037,0.25197661683174344,0.43413775640089863,240
dnsmos,nisqa_test_p501,knn,0.44305555555555554,0.3566545305077507,0.5309783164760917,240
dnsmos,nisqa_test_p501,mos_extremity,0.43287037037037035,0.33869171538266024,0.5273981125879584,240
dnsmos,nisqa_test_p501,ensemble_loo_disagreement,0.8275,0.749155799220273,0.8978745995452018,240
dnsmos,nisqa_test_p501,ensemble_std,0.7052777777777779,0.6131272178869706,0.7899797917803235,240
nisqa,nisqa_test_p501,mahalanobis,0.5425925925925926,0.4528677203891116,0.6445956541218637,240
nisqa,nisqa_test_p501,l2,0.5807407407407408,0.4831136387917079,0.682586792550978,240
nisqa,nisqa_test_p501,knn,0.4640740740740741,0.35819895622818493,0.5773168629741906,240
nisqa,nisqa_test_p501,mos_extremity,0.37796296296296295,0.2653564814814815,0.5069590730863052,240
nisqa,nisqa_test_p501,ensemble_loo_disagreement,0.5889814814814816,0.45888728309845656,0.7169501611833123,240
nisqa,nisqa_test_p501,ensemble_std,0.5914814814814814,0.4763133836699493,0.6936266910247729,240
utmos,nisqa_test_p501,mahalanobis,0.4750925925925926,0.35880069736464476,0.5950153732815169,240
utmos,nisqa_test_p501,l2,0.34564814814814815,0.24530047316623918,0.44479332937953625,240
utmos,nisqa_test_p501,knn,0.5583333333333333,0.44751873580076496,0.6656717130671556,240
utmos,nisqa_test_p501,mos_extremity,0.31351851851851853,0.209170140204623,0.42963110414574807,240
utmos,nisqa_test_p501,ensemble_loo_disagreement,0.617037037037037,0.5079322409967572,0.7228737843751429,240
utmos,nisqa_test_p501,ensemble_std,0.6018518518518519,0.5031230303016101,0.6962731768918278,240
