model,dataset,score,auroc,ci_lo,ci_hi,n
dnsmos,nisqa_test_p501,mahalanobis,0.4274074074074074,0.32962154856566045,0.5294952648964975,240
dnsmos,nisqa_test_p501,knn,0.44305555555555554,0.35842998566829054,0.5300449136913495,240
dnsmos,nisqa_test_p501,ensemble_loo_disagreement,0.8275,0.7505386533158306,0.8963377932164515,240
dnsmos,nisqa_test_p501,precision_weighted_disagreement,0.8368518518518517,0.7699367680933946,0.9007443071537864,240
nisqa,nisqa_test_p501,mahalanobis,0.5425925925925926,0.4504977597941911,0.6417216847835917,240
nisqa,nisqa_test_p501,knn,0.4640740740740741,0.3575665331169631,0.5824792294240029,240
nisqa,nisqa_test_p501,ensemble_loo_disagreement,0.5889814814814816,0.45643213795933363,0.7188565340909091,240
nisqa,nisqa_test_p501,precision_weighted_disagreement,0.6293518518518518,0.5069170904529098,0.7445113905899232,240
utmos,nisqa_test_p501,mahalanobis,0.4750925925925926,0.34716244946583397,0.592685177203323,240
utmos,nisqa_test_p501,knn,0.5583333333333333,0.4443490161583507,0.6610234409607098,240
utmos,nisqa_test_p501,ensemble_loo_disagreement,0.617037037037037,0.5046768470139862,0.717342793402916,240
utmos,nisqa_test_p501,precision_weighted_disagreement,0.617037037037037,0.5008819422491685,0.7201138470144149,240
