model,score,domain_auroc_vs_nisqa_vsim,error_detection_auroc,ci_lo,ci_hi
dnsmos,mahalanobis,0.6523714285714286,0.47818094629156005,0.41123329907495004,0.5451838415707043
dnsmos,l2,0.40794285714285716,0.44077685421994883,0.3794115904740036,0.5030350690291069
dnsmos,knn,0.6614285714285715,0.48337595907928393,0.4151665877365916,0.5512352393973747
nisqa,mahalanobis,0.7746285714285714,0.4618001046572475,0.3913487549183912,0.529854861137552
nisqa,l2,0.5836000000000001,0.4555206698063841,0.3842314416505815,0.5303267630662385
nisqa,knn,0.9109142857142857,0.4147043432757719,0.347109021408338,0.4849091209038762
utmos,mahalanobis,0.7331714285714286,0.47921994884910485,0.4154316405833804,0.545193764579819
utmos,l2,0.6138857142857144,0.5405210997442456,0.4777476759284795,0.5998899304947928
utmos,knn,0.6926571428571429,0.49688299232736577,0.43414955468379024,0.5606343491401393
