predictor,rmse,srcc,n
dnsmos,0.7430375917198406,0.4887251113719478,364
nisqa,0.7924830084003541,0.5974652313030414,364
utmos,1.1369757751277814,0.5955077338460019,364
ensemble_mean,0.7478033907553059,0.6735966249390088,364
