coverage,n_retained,rmse_abstain_high_score,rmse_random_abstention,model,dataset,score
0.8,192,0.6496421915077617,0.653290304831718,nisqa,nisqa_test_p501,knn
0.7,168,0.6768985663596573,0.652047999236527,nisqa,nisqa_test_p501,knn
0.6,144,0.6915028829592444,0.6515831721570655,nisqa,nisqa_test_p501,knn
0.5,120,0.709114826788764,0.6551910976075023,nisqa,nisqa_test_p501,knn
1.0,240,0.6527052284849141,0.652705228484914,nisqa,nisqa_test_p501,mos_extremity
0.9,216,0.6570425653603607,0.6528684090428718,nisqa,nisqa_test_p501,mos_extremity
0.8,192,0.683557369233054,0.6532188172174029,nisqa,nisqa_test_p501,mos_extremity
0.7,168,0.7109601114533184,0.6505587915600927,nisqa,nisqa_test_p501,mos_extremity
0.6,144,0.7352989925531138,0.6518855208275102,nisqa,nisqa_test_p501,mos_extremity
0.5,120,0.7255558401413224,0.6517813043500646,nisqa,nisqa_test_p501,mos_extremity
1.0,200,0.5251128738340533,0.5251128738340531,nisqa,nisqa_val_live,mahalanobis
0.9,180,0.530448782705076,0.5241739303586129,nisqa,nisqa_val_live,mahalanobis
0.8,160,0.5342730730504324,0.5243360444792347,nisqa,nisqa_val_live,mahalanobis
0.7,140,0.5422217321179744,0.5244765317477444,nisqa,nisqa_val_live,mahalanobis
0.6,120,0.5522831350452099,0.5238538207112132,nisqa,nisqa_val_live,mahalanobis
0.5,100,0.5481388681821455,0.5268708494699018,nisqa,nisqa_val_live,mahalanobis
1.0,200,0.5251128738340533,0.5251128738340531,nisqa,nisqa_val_live,l2
0.9,180,0.5414731379205893,0.5261455487686362,nisqa,nisqa_val_live,l2
0.8,160,0.5527092057390086,0.5240520116223983,nisqa,nisqa_val_live,l2
0.7,140,0.5634449569435973,0.5254059713059711,nisqa,nisqa_val_live,l2
0.6,120,0.5757966600333676,0.5227054134083701,nisqa,nisqa_val_live,l2
0.5,100,0.5962110632038272,0.5253621194334519,nisqa,nisqa_val_live,l2
1.0,200,0.5251128738340533,0.5251128738340531,nisqa,nisqa_val_live,knn
0.9,180,0.5225831108718325,0.5255777658227206,nisqa,nisqa_val_live,knn
0.8,160,0.5036179630705351,0.5262342406167697,nisqa,nisqa_val_live,knn
0.7,140,0.4978362373666914,0.5246773878079887,nisqa,nisqa_val_live,knn
0.6,120,0.5027680365078518,0.5248439834936032,nisqa,nisqa_val_live,knn
0.5,100,0.5116881629267592,0.5207265085876057,nisqa,nisqa_val_live,knn
1.0,200,0.5251128738340533,0.5251128738340531,nisqa,nisqa_val_live,mos_extremity
0.9,180,0.5476685531467389,0.5243763697642667,nisqa,nisqa_val_live,mos_extremity
0.8,160,0.5424083327153641,0.5249745726788274,nisqa,nisqa_val_live,mos_extremity
0.7,140,0.5345881989606215,0.5254007706711096,nisqa,nisqa_val_live,mos_extremity
0.6,120,0.5327759894517528,0.5221668609523187,nisqa,nisqa_val_live,mos_extremity
0.5,100,0.5273916497827215,0.5227117718963358,nisqa,nisqa_val_live,mos_extremity
1.0,240,0.9946852166269882,0.9946852166269884,dnsmos,nisqa_test_for,mahalanobis
0.9,216,1.024725801188413,0.9969061846403939,dnsmos,nisqa_test_for,mahalanobis
0.8,192,1.053375520778479,0.9942313480030833,dnsmos,nisqa_test_for,mahalanobis
0.7,168,1.072519251779388,0.9956245548967964,dnsmos,nisqa_test_for,mahalanobis
0.6,144,1.097191431043233,0.9926819208173737,dnsmos,nisqa_test_for,mahalanobis
0.5,120,1.122642823481345,0.994599497370824,dnsmos,nisqa_test_for,mahalanobis
1.0,240,0.9946852166269882,0.9946852166269884,dnsmos,nisqa_test_for,l2
0.9,216,1.0306229058627838,0.9953757933603817,dnsmos,nisqa_test_for,l2
0.8,192,1.042019073976924,0.994999185285382,dnsmos,nisqa_test_for,l2
