model,dataset,alpha,nominal_coverage,method,coverage,mean_width
dnsmos,nisqa_train_live,0.1,0.9,conformal_fixed,0.9009803921568628,1.9751243591308594
dnsmos,nisqa_train_live,0.1,0.9,conformal_adaptive,0.9068627450980392,1.9675618410110474
dnsmos,nisqa_val_sim,0.1,0.9,conformal_fixed,0.7724,1.9751242399215698
dnsmos,nisqa_val_sim,0.1,0.9,conformal_adaptive,0.7736,1.9866271018981934
dnsmos,nisqa_val_live,0.1,0.9,conformal_fixed,0.92,1.9751243591308594
dnsmos,nisqa_val_live,0.1,0.9,conformal_adaptive,0.91,1.9861563444137573
dnsmos,nisqa_test_for,0.1,0.9,conformal_fixed,0.6625,1.9751243591308594
dnsmos,nisqa_test_for,0.1,0.9,conformal_adaptive,0.6666666666666666,1.9988486766815186
dnsmos,nisqa_test_livetalk,0.1,0.9,conformal_fixed,0.8318965517241379,1.9751243591308594
dnsmos,nisqa_test_livetalk,0.1,0.9,conformal_adaptive,0.8362068965517241,1.9831441640853882
dnsmos,nisqa_test_p501,0.1,0.9,conformal_fixed,0.5791666666666667,1.9751243591308594
dnsmos,nisqa_test_p501,0.1,0.9,conformal_adaptive,0.5833333333333334,1.9900109767913818
dnsmos,nisqa_train_sim,0.2,0.8,conformal_fixed,0.6668,1.5562740564346313
dnsmos,nisqa_train_sim,0.2,0.8,conformal_adaptive,0.6778,1.5872673988342285
dnsmos,nisqa_train_live,0.2,0.8,conformal_fixed,0.8009803921568628,1.556274175643921
dnsmos,nisqa_train_live,0.2,0.8,conformal_adaptive,0.803921568627451,1.5835415124893188
dnsmos,nisqa_val_sim,0.2,0.8,conformal_fixed,0.6472,1.5562738180160522
dnsmos,nisqa_val_sim,0.2,0.8,conformal_adaptive,0.6624,1.5866658687591553
dnsmos,nisqa_val_live,0.2,0.8,conformal_fixed,0.825,1.5562740564346313
dnsmos,nisqa_val_live,0.2,0.8,conformal_adaptive,0.83,1.592565894126892
dnsmos,nisqa_test_for,0.2,0.8,conformal_fixed,0.5333333333333333,1.5562740564346313
dnsmos,nisqa_test_for,0.2,0.8,conformal_adaptive,0.5541666666666667,1.5962010622024536
dnsmos,nisqa_test_livetalk,0.2,0.8,conformal_fixed,0.7327586206896551,1.5562740564346313
dnsmos,nisqa_test_livetalk,0.2,0.8,conformal_adaptive,0.7586206896551724,1.596522331237793
dnsmos,nisqa_test_p501,0.2,0.8,conformal_fixed,0.4666666666666667,1.5562739372253418
dnsmos,nisqa_test_p501,0.2,0.8,conformal_adaptive,0.4708333333333333,1.5891414880752563
utmos,nisqa_train_sim,0.05,0.95,conformal_fixed,0.9722,2.9893152713775635
utmos,nisqa_train_sim,0.05,0.95,conformal_adaptive,0.9741,3.072169303894043
utmos,nisqa_train_live,0.05,0.95,conformal_fixed,0.9509803921568627,2.9893155097961426
utmos,nisqa_train_live,0.05,0.95,conformal_adaptive,0.9558823529411765,3.093780755996704
utmos,nisqa_val_sim,0.05,0.95,conformal_fixed,0.9712,2.9893152713775635
utmos,nisqa_val_sim,0.05,0.95,conformal_adaptive,0.9724,3.0622780323028564
utmos,nisqa_val_live,0.05,0.95,conformal_fixed,0.915,2.9893152713775635
utmos,nisqa_val_live,0.05,0.95,conformal_adaptive,0.95,3.114514112472534
utmos,nisqa_test_for,0.05,0.95,conformal_fixed,0.9833333333333333,2.9893152713775635
utmos,nisqa_test_for,0.05,0.95,conformal_adaptive,0.9833333333333333,3.0606398582458496
utmos,nisqa_test_livetalk,0.05,0.95,conformal_fixed,0.875,2.9893152713775635
