model,dataset,k,auroc,fpr95
nisqa,nisqa_test_for,1,0.926378932244404,0.0925589836660617
nisqa,nisqa_test_livetalk,1,0.9510908849114463,0.09183303085299456
nisqa,nisqa_test_p501,1,0.926167574107683,0.0925589836660617
nisqa,nisqa_val_live,1,0.9562513611615245,0.08620689655172414
nisqa,nisqa_val_sim,1,0.9151756079854809,0.0925589836660617
nisqa,nisqa_test_for,5,0.6024272156684815,0.9280399274047187
nisqa,nisqa_test_livetalk,5,0.8361368827836535,0.5552631578947368
nisqa,nisqa_test_p501,5,0.6166963475499092,0.8617059891107078
nisqa,nisqa_val_live,5,0.8676352087114337,0.367967332123412
nisqa,nisqa_val_sim,5,0.4645803266787658,0.9515426497277677
nisqa,nisqa_test_for,10,0.5909781457955233,0.9339382940108893
nisqa,nisqa_test_livetalk,10,0.8269685994117278,0.5851179673321234
nisqa,nisqa_test_p501,10,0.6066224289171204,0.8847549909255898
nisqa,nisqa_val_live,10,0.8539718693284937,0.3809437386569873
nisqa,nisqa_val_sim,10,0.44829949183303086,0.9563520871143376
nisqa,nisqa_test_for,20,0.5856219751966122,0.9153357531760435
nisqa,nisqa_test_livetalk,20,0.8230822485762562,0.623502722323049
nisqa,nisqa_test_p501,20,0.6001433000604961,0.8869328493647913
nisqa,nisqa_val_live,20,0.8421288566243195,0.3936479128856624
nisqa,nisqa_val_sim,20,0.4426480943738657,0.9575317604355716
nisqa,nisqa_test_for,50,0.5869199939503932,0.8954627949183304
nisqa,nisqa_test_livetalk,50,0.814031111145879,0.6400181488203267
nisqa,nisqa_test_p501,50,0.6022379764065335,0.873049001814882
nisqa,nisqa_val_live,50,0.8253312159709619,0.42304900181488203
nisqa,nisqa_val_sim,50,0.44053807622504537,0.9551724137931035
dnsmos,nisqa_test_for,1,0.937535163339383,0.09128856624319419
dnsmos,nisqa_test_livetalk,1,0.9487577445397084,0.09056261343012705
dnsmos,nisqa_test_p501,1,0.926828493647913,0.09237749546279492
dnsmos,nisqa_val_live,1,0.9518411978221416,0.08774954627949183
dnsmos,nisqa_val_sim,1,0.9265761524500907,0.09237749546279492
dnsmos,nisqa_test_for,5,0.6077196763460375,0.8657894736842106
dnsmos,nisqa_test_livetalk,5,0.7221810657738281,0.7862976406533575
dnsmos,nisqa_test_p501,5,0.44461131276467036,0.9489110707803993
dnsmos,nisqa_val_live,5,0.7475362976406533,0.6933756805807623
dnsmos,nisqa_val_sim,5,0.4594497277676951,0.9538112522686025
dnsmos,nisqa_test_for,10,0.5916481397459166,0.89491833030853
dnsmos,nisqa_test_livetalk,10,0.7103753363789974,0.8237749546279491
dnsmos,nisqa_test_p501,10,0.4309008242589232,0.9551724137931035
dnsmos,nisqa_val_live,10,0.7368525408348459,0.6859346642468239
dnsmos,nisqa_val_sim,10,0.4479466061705989,0.9602540834845735
dnsmos,nisqa_test_for,20,0.5824926270417423,0.916606170598911
dnsmos,nisqa_test_livetalk,20,0.6993354559108831,0.8428312159709619
dnsmos,nisqa_test_p501,20,0.42297035692679974,0.9632486388384754
dnsmos,nisqa_val_live,20,0.7292672413793103,0.6746823956442831
dnsmos,nisqa_val_sim,20,0.4431851905626134,0.967967332123412
dnsmos,nisqa_test_for,50,0.5698166212946159,0.9333030852994555
dnsmos,nisqa_test_livetalk,50,0.6893985856436573,0.8648820326678766
dnsmos,nisqa_test_p501,50,0.4166935117967332,0.9710526315789474
dnsmos,nisqa_val_live,50,0.7197813067150635,0.6592558983666061
dnsmos,nisqa_val_sim,50,0.4398948275862069,0.9725045372050817
utmos,nisqa_test_for,1,0.9325151240169389,0.09065335753176043
utmos,nisqa_test_livetalk,1,0.9500168189498718,0.08711433756805807
utmos,nisqa_test_p501,1,0.9421230338777979,0.08911070780399274
utmos,nisqa_val_live,1,0.9528421052631578,0.0882940108892922
utmos,nisqa_val_sim,1,0.9408126315789475,0.09165154264972777
utmos,nisqa_test_for,5,0.39321158499697517,0.9372958257713249
utmos,nisqa_test_livetalk,5,0.6038615135490331,0.8486388384754991
utmos,nisqa_test_p501,5,0.50349629461585,0.8740471869328493
utmos,nisqa_val_live,5,0.6064968239564429,0.8455535390199637
utmos,nisqa_val_sim,5,0.4829840108892922,0.9466424682395644
utmos,nisqa_test_for,10,0.3842774500907441,0.9469147005444646
utmos,nisqa_test_livetalk,10,0.5905698494899556,0.8516333938294011
utmos,nisqa_test_p501,10,0.4925574712643678,0.8712341197822142
utmos,nisqa_val_live,10,0.5950809891107078,0.8489110707803993
utmos,nisqa_val_sim,10,0.4719559709618875,0.9493647912885662
utmos,nisqa_test_for,20,0.3792683756805808,0.9401088929219601
utmos,nisqa_test_livetalk,20,0.5826641607735152,0.88502722323049
utmos,nisqa_test_p501,20,0.4901958560193587,0.8937386569872958
utmos,nisqa_val_live,20,0.5964727767695099,0.8608892921960073
utmos,nisqa_val_sim,20,0.46702003629764066,0.956442831215971
utmos,nisqa_test_for,50,0.3948585904416213,0.9519963702359346
utmos,nisqa_test_livetalk,50,0.5848609894236184,0.8892014519056262
utmos,nisqa_test_p501,50,0.4935346718088324,0.8714156079854809
utmos,nisqa_val_live,50,0.6150281306715064,0.8367513611615245
utmos,nisqa_val_sim,50,0.4668529582577132,0.9534482758620689
