metric,model,dataset,point_estimate,ci_lo,ci_hi,n_boot,n_groups
mahalanobis_srcc_ood,nisqa,nisqa_test_livetalk,0.0013079269406041638,-0.1651754930271743,0.17062003632602055,2000,58
l2_auroc,nisqa,nisqa_test_livetalk,0.7444568965517242,0.7026869396551725,0.7818929310344828,2000,58
l2_fpr95,nisqa,nisqa_test_livetalk,0.7896,0.63239,0.8924,2000,58
l2_srcc_ood,nisqa,nisqa_test_livetalk,0.01744607324006465,-0.1361242253717922,0.16582782761147952,2000,58
knn_auroc,nisqa,nisqa_test_livetalk,0.875398275862069,0.8319378879310345,0.9131975431034484,2000,58
knn_fpr95,nisqa,nisqa_test_livetalk,0.5516,0.36798,0.846,2000,58
knn_srcc_ood,nisqa,nisqa_test_livetalk,-0.025125459119835318,-0.16959450546869323,0.11068555517822391,2000,58
mahalanobis_auroc,nisqa,nisqa_test_p501,0.7143583333333333,0.6717626666666666,0.7576305416666665,2000,60
mahalanobis_fpr95,nisqa,nisqa_test_p501,0.7268,0.668,0.8,2000,60
mahalanobis_srcc_ood,nisqa,nisqa_test_p501,0.013616555842983382,-0.13798820503682926,0.1667947960689938,2000,60
l2_auroc,nisqa,nisqa_test_p501,0.6099683333333333,0.5534625416666666,0.6658322083333332,2000,60
l2_fpr95,nisqa,nisqa_test_p501,0.8728,0.7699900000000001,0.8996,2000,60
l2_srcc_ood,nisqa,nisqa_test_p501,0.09023854580808693,-0.05970489294102498,0.24220579282354876,2000,60
knn_auroc,nisqa,nisqa_test_p501,0.6623566666666667,0.602773125,0.7196292083333332,2000,60
knn_fpr95,nisqa,nisqa_test_p501,0.8976,0.81039,0.9832,2000,60
knn_srcc_ood,nisqa,nisqa_test_p501,-0.05248181392038055,-0.21562004376289967,0.1166751172394042,2000,60
mahalanobis_auroc,nisqa,nisqa_val_live,0.87026,0.85051315,0.8882069,2000,200
mahalanobis_fpr95,nisqa,nisqa_val_live,0.416,0.308,0.48960999999999993,2000,200
mahalanobis_srcc_ood,nisqa,nisqa_val_live,-0.0189004725118128,-0.15966634441143462,0.11485122090187558,2000,200
l2_auroc,nisqa,nisqa_val_live,0.6868259999999999,0.6533110499999999,0.7207711,2000,200
l2_fpr95,nisqa,nisqa_val_live,0.7664,0.70278,0.8096,2000,200
l2_srcc_ood,nisqa,nisqa_val_live,-0.11709292732318308,-0.2581278232100429,0.014361977807973839,2000,200
knn_auroc,nisqa,nisqa_val_live,0.9282779999999999,0.91222745,0.94277205,2000,200
knn_fpr95,nisqa,nisqa_val_live,0.3156,0.17398999999999998,0.394,2000,200
knn_srcc_ood,nisqa,nisqa_val_live,0.15782344558613964,0.018638729069377708,0.2970226007103678,2000,200
srcc,dnsmos,nisqa_train_sim,0.7280981387518877,0.7175844608659,0.7382484667582758,2000,10000
rmse,dnsmos,nisqa_train_sim,0.8021738795141585,0.7909291387412062,0.8134449470139489,2000,10000
pcc,dnsmos,nisqa_train_sim,0.70835432873499,0.698683273986943,0.7177149236093971,2000,10000
