model,weighting,score,direction,coverage,n_retained,rmse
dnsmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.7,2227,0.7133617466660993
dnsmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.6,1909,0.7021206589426976
dnsmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.5,1591,0.6908541195126755
dnsmos,domain_balanced,l2,retain_low_score,1.0,3182,0.7571078695090883
dnsmos,domain_balanced,l2,retain_low_score,0.95,3023,0.7656350555928472
dnsmos,domain_balanced,l2,retain_low_score,0.9,2864,0.7716568156895518
dnsmos,domain_balanced,l2,retain_low_score,0.8,2546,0.7854880939874486
dnsmos,domain_balanced,l2,retain_low_score,0.7,2227,0.7943990062025026
dnsmos,domain_balanced,l2,retain_low_score,0.6,1909,0.8132509517294526
dnsmos,domain_balanced,l2,retain_low_score,0.5,1591,0.8261538439614473
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,1.0,3182,0.7571078695090883
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,0.95,3023,0.7497572895564245
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,0.9,2864,0.7454397529714851
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,0.8,2546,0.7314277666010602
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,0.7,2227,0.7163152429222007
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,0.6,1909,0.7006871641108047
dnsmos,domain_balanced,l2,retain_high_score_diagnostic,0.5,1591,0.6825484932458308
dnsmos,domain_balanced,knn,retain_low_score,1.0,3182,0.7571078695090883
dnsmos,domain_balanced,knn,retain_low_score,0.95,3023,0.7657168267785837
dnsmos,domain_balanced,knn,retain_low_score,0.9,2864,0.7740503024475618
dnsmos,domain_balanced,knn,retain_low_score,0.8,2546,0.7867082815647461
dnsmos,domain_balanced,knn,retain_low_score,0.7,2227,0.8007883138456411
dnsmos,domain_balanced,knn,retain_low_score,0.6,1909,0.8168833842955209
dnsmos,domain_balanced,knn,retain_low_score,0.5,1591,0.8414540241593832
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,1.0,3182,0.7571078695090883
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,0.95,3023,0.747026314853659
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,0.9,2864,0.74192002665041
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,0.8,2546,0.7268936114643457
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,0.7,2227,0.7028302949202181
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,0.6,1909,0.6963256426429404
dnsmos,domain_balanced,knn,retain_high_score_diagnostic,0.5,1591,0.6746636606075775
dnsmos,domain_balanced,mos_extremity,retain_low_score,1.0,3182,0.7571078695090883
dnsmos,domain_balanced,mos_extremity,retain_low_score,0.95,3023,0.765248585060538
dnsmos,domain_balanced,mos_extremity,retain_low_score,0.9,2864,0.7727639924466756
dnsmos,domain_balanced,mos_extremity,retain_low_score,0.8,2546,0.787043944406324
dnsmos,domain_balanced,mos_extremity,retain_low_score,0.7,2227,0.7978801498109473
dnsmos,domain_balanced,mos_extremity,retain_low_score,0.6,1909,0.804052117398711
dnsmos,domain_balanced,mos_extremity,retain_low_score,0.5,1591,0.8125946425013895
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,1.0,3182,0.7571078695090883
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.95,3023,0.7576451051212737
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.9,2864,0.7460581891366475
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.8,2546,0.7329611568984177
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.7,2227,0.7157510094815082
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.6,1909,0.706643584820244
dnsmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.5,1591,0.697194966525723
nisqa,natural,mahalanobis,retain_low_score,1.0,3182,0.7147114898560403
nisqa,natural,mahalanobis,retain_low_score,0.95,3023,0.7215818523928839
nisqa,natural,mahalanobis,retain_low_score,0.9,2864,0.7245432695200276
nisqa,natural,mahalanobis,retain_low_score,0.8,2546,0.7411369730431796
nisqa,natural,mahalanobis,retain_low_score,0.7,2227,0.761960845080588
nisqa,natural,mahalanobis,retain_low_score,0.6,1909,0.7842292773969424
nisqa,natural,mahalanobis,retain_low_score,0.5,1591,0.8145498891903401
nisqa,natural,mahalanobis,retain_high_score_diagnostic,1.0,3182,0.7147114898560403
