model,task,dataset,score,n,positive_rate,auroc_prespecified_direction,auroc_direction_free_diagnostic,preferred_direction
dnsmos,pooled_standardized_error_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.5017133024721259,0.5017133024721259,higher_score_higher_error
dnsmos,pooled_outside_subjective_95ci,all,mahalanobis,3182,0.42237586423632933,0.48792724040105706,0.5120727595989429,higher_score_lower_error
dnsmos,pooled_outside_subjective_95ci,all,l2,3182,0.42237586423632933,0.5138871346960983,0.5138871346960983,higher_score_higher_error
dnsmos,pooled_outside_subjective_95ci,all,knn,3182,0.42237586423632933,0.46102574939116014,0.5389742506088399,higher_score_lower_error
dnsmos,pooled_outside_subjective_95ci,all,mos_extremity,3182,0.42237586423632933,0.5156458479066273,0.5156458479066273,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_val_sim,mahalanobis,1250,0.2504,0.3845902052979907,0.6154097947020093,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_val_sim,l2,1250,0.2504,0.4042539407598856,0.5957460592401145,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_val_sim,knn,1250,0.2504,0.48586509184024873,0.5141349081597513,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_val_sim,mos_extremity,1250,0.2504,0.3480791459385368,0.6519208540614632,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_train_live,mahalanobis,1020,0.25,0.5397154940407536,0.5397154940407536,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_train_live,l2,1020,0.25,0.49843906189926956,0.5015609381007304,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_train_live,knn,1020,0.25,0.5748788927335641,0.5748788927335641,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_train_live,mos_extremity,1020,0.25,0.4715673458926054,0.5284326541073946,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_val_live,mahalanobis,200,0.25,0.4821333333333333,0.5178666666666667,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_val_live,l2,200,0.25,0.36800000000000005,0.6319999999999999,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_val_live,knn,200,0.25,0.5738666666666666,0.5738666666666666,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_val_live,mos_extremity,200,0.25,0.37840000000000007,0.6215999999999999,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_test_for,mahalanobis,240,0.25,0.45083333333333336,0.5491666666666666,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_test_for,l2,240,0.25,0.3735185185185185,0.6264814814814814,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_test_for,knn,240,0.25,0.5536111111111112,0.5536111111111112,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_test_for,mos_extremity,240,0.25,0.384537037037037,0.615462962962963,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_test_livetalk,mahalanobis,232,0.25,0.5719381688466113,0.5719381688466113,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_test_livetalk,l2,232,0.25,0.58115338882283,0.58115338882283,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_test_livetalk,knn,232,0.25,0.5219976218787159,0.5219976218787159,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_test_livetalk,mos_extremity,232,0.25,0.4721561632976615,0.5278438367023385,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_test_p501,mahalanobis,240,0.25,0.5425925925925926,0.5425925925925926,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_test_p501,l2,240,0.25,0.5807407407407408,0.5807407407407408,higher_score_higher_error
nisqa,within_domain_top_quartile,nisqa_test_p501,knn,240,0.25,0.4640740740740741,0.5359259259259259,higher_score_lower_error
nisqa,within_domain_top_quartile,nisqa_test_p501,mos_extremity,240,0.25,0.37796296296296295,0.622037037037037,higher_score_lower_error
nisqa,pooled_top_quartile,all,mahalanobis,3182,0.2501571338780641,0.38469748154013994,0.6153025184598601,higher_score_lower_error
nisqa,pooled_top_quartile,all,l2,3182,0.2501571338780641,0.4075935524226329,0.5924064475773672,higher_score_lower_error
nisqa,pooled_top_quartile,all,knn,3182,0.2501571338780641,0.4180218464493465,0.5819781535506535,higher_score_lower_error
nisqa,pooled_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.38206539824015295,0.617934601759847,higher_score_lower_error
nisqa,balanced_pooled_top_quartile,all,mahalanobis,3182,0.2501571338780641,0.45173469377493286,0.5482653062250671,higher_score_lower_error
nisqa,balanced_pooled_top_quartile,all,l2,3182,0.2501571338780641,0.4516024707816832,0.5483975292183167,higher_score_lower_error
nisqa,balanced_pooled_top_quartile,all,knn,3182,0.2501571338780641,0.4650251093306446,0.5349748906693554,higher_score_lower_error
nisqa,balanced_pooled_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.40822563255345307,0.591774367446547,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.5,all,mahalanobis,3182,0.4424890006285355,0.4286948232679102,0.5713051767320898,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.5,all,l2,3182,0.4424890006285355,0.43381174253100335,0.5661882574689967,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.5,all,knn,3182,0.4424890006285355,0.4599810552680127,0.5400189447319873,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.5,all,mos_extremity,3182,0.4424890006285355,0.39717718689146253,0.6028228131085375,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.75,all,mahalanobis,3182,0.2677561282212445,0.39131354651514233,0.6086864534848577,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.75,all,l2,3182,0.2677561282212445,0.4114139414455258,0.5885860585544742,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.75,all,knn,3182,0.2677561282212445,0.42622332708698546,0.5737766729130145,higher_score_lower_error
nisqa,pooled_abs_error_gt_0.75,all,mos_extremity,3182,0.2677561282212445,0.3862731467488767,0.6137268532511233,higher_score_lower_error
nisqa,pooled_abs_error_gt_1,all,mahalanobis,3182,0.1571338780641106,0.3267546607009694,0.6732453392990305,higher_score_lower_error
nisqa,pooled_abs_error_gt_1,all,l2,3182,0.1571338780641106,0.37339634601044,0.6266036539895601,higher_score_lower_error
nisqa,pooled_abs_error_gt_1,all,knn,3182,0.1571338780641106,0.3666058911260254,0.6333941088739746,higher_score_lower_error
nisqa,pooled_abs_error_gt_1,all,mos_extremity,3182,0.1571338780641106,0.37943325876211786,0.6205667412378821,higher_score_lower_error
nisqa,pooled_standardized_error_top_quartile,all,mahalanobis,3182,0.2501571338780641,0.46661060962819123,0.5333893903718088,higher_score_lower_error
nisqa,pooled_standardized_error_top_quartile,all,l2,3182,0.2501571338780641,0.5209969061569373,0.5209969061569373,higher_score_higher_error
nisqa,pooled_standardized_error_top_quartile,all,knn,3182,0.2501571338780641,0.44580298811745234,0.5541970118825477,higher_score_lower_error
nisqa,pooled_standardized_error_top_quartile,all,mos_extremity,3182,0.2501571338780641,0.5072975944264491,0.5072975944264491,higher_score_higher_error
nisqa,pooled_outside_subjective_95ci,all,mahalanobis,3182,0.3953488372093023,0.46008539112672664,0.5399146088732734,higher_score_lower_error
nisqa,pooled_outside_subjective_95ci,all,l2,3182,0.3953488372093023,0.5119738868745227,0.5119738868745227,higher_score_higher_error
nisqa,pooled_outside_subjective_95ci,all,knn,3182,0.3953488372093023,0.45088708771141206,0.5491129122885879,higher_score_lower_error
nisqa,pooled_outside_subjective_95ci,all,mos_extremity,3182,0.3953488372093023,0.49681869713666216,0.5031813028633378,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_val_sim,mahalanobis,1250,0.2504,0.47996631217160335,0.5200336878283967,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_val_sim,l2,1250,0.2504,0.40040780002795956,0.5995921999720404,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_val_sim,knn,1250,0.2504,0.5159147711580362,0.5159147711580362,higher_score_higher_error
utmos,within_domain_top_quartile,nisqa_val_sim,mos_extremity,1250,0.2504,0.4185269417384692,0.5814730582615308,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_train_live,mahalanobis,1020,0.25,0.4627040881712162,0.5372959118287838,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_train_live,l2,1020,0.25,0.4478892733564014,0.5521107266435986,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_train_live,knn,1020,0.25,0.48211200820197364,0.5178879917980264,higher_score_lower_error
utmos,within_domain_top_quartile,nisqa_train_live,mos_extremity,1020,0.25,0.4474637959759067,0.5525362040240933,higher_score_lower_error
