model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
dnsmos,mos_extremity_mondrian,per_dataset,20,0.0025000000000000187,0.04977342893679939,0.014098797341187751,0.04119669193241635,-0.02945841948191319,0.1387600024541218,0.45,nisqa_test_p501
dnsmos,local_residual_mondrian_k10,per_dataset,20,0.007500000000000012,0.033079736183086995,0.010130331665277482,0.032747235183927276,-0.034539403518040857,0.079986290136973,0.45,nisqa_test_p501
dnsmos,local_residual_normalized_k10,per_dataset,20,0.016250000000000014,0.21676315382608707,0.24863128116530286,0.10404643290267833,0.09023065039707934,0.5702153151842904,0.0,nisqa_test_p501
dnsmos,local_residual_mondrian_k25,per_dataset,20,0.00979166666666667,0.030499739398558923,0.011325400024652455,0.03742130913769378,-0.040594119826952824,0.11989834904670715,0.4,nisqa_test_p501
dnsmos,local_residual_normalized_k25,per_dataset,20,0.008541666666666675,0.07425636327876346,0.0872455980557451,0.06920190366141069,-0.04447029098336008,0.2134332423010603,0.15,nisqa_test_p501
dnsmos,local_residual_mondrian_k50,per_dataset,20,0.006041666666666679,0.04172160153587658,0.030216023077567388,0.0346587278572644,-0.0385183374087017,0.10159544448057778,0.2,nisqa_test_p501
dnsmos,local_residual_normalized_k50,per_dataset,20,0.0010416666666666797,0.024404950977371408,0.05554474573239847,0.06490905538037905,-0.0980558571181187,0.17765174044578425,0.25,nisqa_test_p501
nisqa,mahalanobis_mondrian,per_dataset,20,0.005559999999999993,-0.025664804973602285,-0.05106892618179319,0.02917195891923201,-0.09719753036499013,0.002182229232788213,0.9,nisqa_val_sim
nisqa,predicted_mos_mondrian,per_dataset,20,0.005239999999999983,-0.07386642838478082,-0.16950255776405337,0.024532965796933755,-0.21025678024291983,-0.12182658500671417,1.0,nisqa_val_sim
nisqa,mos_extremity_mondrian,per_dataset,20,0.005399999999999988,-0.06426552199363708,-0.09735498136520385,0.02767852454320949,-0.14499716339111313,-0.03992892150878902,1.0,nisqa_val_sim
nisqa,local_residual_mondrian_k10,per_dataset,20,0.0024399999999999977,-0.24755844092369078,-0.2757974036693573,0.03548319584089856,-0.3511230674743655,-0.21754015007019056,1.0,nisqa_val_sim
nisqa,local_residual_normalized_k10,per_dataset,20,-0.000720000000000004,-0.22429421582758988,-0.22091521086938082,0.07169381682926783,-0.34073799240814173,-0.06112094043921834,1.0,nisqa_val_sim
nisqa,local_residual_mondrian_k25,per_dataset,20,0.004360000000000014,-0.26910817437171936,-0.2973403241634368,0.0399575658377891,-0.3745949106216431,-0.22160436553955076,1.0,nisqa_val_sim
