model,selection_dataset,selected_method,selection_fixed_interval_score,selection_selected_interval_score,test_dataset,fixed_coverage,selected_coverage,fixed_width,selected_width,fixed_interval_score,selected_interval_score,selected_minus_fixed,conditional_ci_lo,conditional_ci_hi,oracle_method,oracle_interval_score,selection_regret
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,3.171615957260132,3.137542861747742,nisqa_train_live,0.9901960784313726,0.9833333333333332,2.760171413421631,2.6530655739354154,2.7847778540031585,2.708968693134832,-0.07580916086832667,-0.1928404761590702,0.083002631192858,local_residual_normalized_k25,2.5646317705432526,0.14433692259157915
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,3.171615957260132,3.137542861747742,nisqa_val_live,1.0,0.99,2.760171413421631,2.6521076834201813,2.760171413421631,2.6704667723178863,-0.08970464110374454,-0.2372245609158215,0.0854726350379348,local_residual_normalized_k25,2.530718105624375,0.1397486666935115
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,3.171615957260132,3.137542861747742,nisqa_test_for,0.9,0.8916666666666667,2.760171413421631,2.737865858276685,3.2149482369422917,3.126605066657066,-0.08834317028522554,-0.1764033265908559,0.043838361700376,local_residual_mondrian_k25,3.126605066657066,0.0
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,3.171615957260132,3.137542861747742,nisqa_test_livetalk,0.9439655172413792,0.9310344827586208,2.760171413421631,2.728936269365508,3.033029247974527,3.0549565142598647,0.021927266285337588,-0.0453102791103819,0.2558180619159646,mahalanobis_mondrian,2.994854283743891,0.06010223051597352
dnsmos,nisqa_val_sim,local_residual_mondrian_k25,3.171615957260132,3.137542861747742,nisqa_test_p501,0.8708333333333333,0.8916666666666667,2.760171413421631,2.7825824201107023,3.243613888820013,3.243563203016917,-5.068580309597337e-05,-0.0934449022759994,0.1894063529868921,predicted_mos_mondrian,3.210601047674815,0.03296215534210223
nisqa,nisqa_val_sim,local_residual_mondrian_k10,3.551801847457886,3.275138216018677,nisqa_train_live,0.9931372549019608,0.9794117647058824,2.91591215133667,2.629664134044273,2.9288697429731783,2.7358982567693677,-0.19297148620381055,-0.4413212061321886,-0.0938344068190537,mahalanobis_mondrian,2.3811936521062664,0.3547046046631013
nisqa,nisqa_val_sim,local_residual_mondrian_k10,3.551801847457886,3.275138216018677,nisqa_val_live,0.995,0.975,2.91591215133667,2.6502590310573577,2.9248497128486632,2.738991893529892,-0.18585781931877143,-0.4441377151591792,0.0023351390054905,mahalanobis_mondrian,2.2685756170749665,0.47041627645492534
nisqa,nisqa_val_sim,local_residual_mondrian_k10,3.551801847457886,3.275138216018677,nisqa_test_for,0.9291666666666668,0.9291666666666668,2.91591215133667,2.6588854024807613,3.4487399558226266,3.225083433588346,-0.22365652223428079,-0.506226693491141,0.0208972644557553,local_residual_normalized_k25,3.095932782317344,0.12915065127100167
nisqa,nisqa_val_sim,local_residual_mondrian_k10,3.551801847457886,3.275138216018677,nisqa_test_livetalk,0.9353448275862069,0.9525862068965516,2.91591215133667,2.8850492557574965,3.186311047652672,3.2159018136304,0.02959076597772814,-0.1160904422402382,0.316777758531529,mahalanobis_mondrian,3.0818758853550614,0.13402592827533866
nisqa,nisqa_val_sim,local_residual_mondrian_k10,3.551801847457886,3.275138216018677,nisqa_test_p501,0.9708333333333332,0.975,2.91591215133667,2.8475993235905963,3.0460790594418845,2.899838920434316,-0.14624013900756871,-0.3662006810307502,0.0405835914611814,local_residual_mondrian_k10,2.899838920434316,0.0
utmos,nisqa_val_sim,local_residual_normalized_k25,2.8100205688476563,2.770418245748762,nisqa_train_live,0.8245098039215686,0.7715686274509804,2.324647903442383,2.081634543869692,3.2883144126218906,3.4398641003668584,0.1515496877449678,0.0204025470704354,0.2989571814857811,mahalanobis_mondrian,3.159479572025,0.28038452834185845
utmos,nisqa_val_sim,local_residual_normalized_k25,2.8100205688476563,2.770418245748762,nisqa_val_live,0.795,0.765,2.324647903442383,2.0759808906331103,3.536899650096893,3.787457518850693,0.2505578687537997,0.0603171146016388,0.4919637769315422,predicted_mos_mondrian,3.371345853805542,0.41611166504515085
utmos,nisqa_val_sim,local_residual_normalized_k25,2.8100205688476563,2.770418245748762,nisqa_test_for,0.9333333333333332,0.9291666666666668,2.324647903442383,2.2902558890264166,2.656517485777537,2.6563950942292527,-0.0001223915482841953,-0.1226776931196008,0.1032266024409983,local_residual_normalized_k25,2.6563950942292527,0.0
utmos,nisqa_val_sim,local_residual_normalized_k25,2.8100205688476563,2.770418245748762,nisqa_test_livetalk,0.6681034482758621,0.6681034482758621,2.324647903442383,2.2034491643182617,4.361316243122364,4.627973834241318,0.26665759111895326,-0.0886069432437564,0.6965397192472887,predicted_mos_mondrian,3.7620990307166657,0.865874803524652
utmos,nisqa_val_sim,local_residual_normalized_k25,2.8100205688476563,2.770418245748762,nisqa_test_p501,0.925,0.9208333333333332,2.324647903442383,2.2072038283278923,2.5766392250855765,2.512421843491204,-0.06421738159437274,-0.1886890593416915,0.0454409677258954,local_residual_normalized_k25,2.512421843491204,0.0
