model,score,calibration_fraction,seed,dataset,calibration_n,evaluation_n,fixed_coverage,fixed_width,fixed_interval_score,adaptive_coverage,adaptive_width,adaptive_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,mahalanobis,0.3,20270001,nisqa_val_sim,750,1750,0.9291428571428572,2.8412585258483887,3.1461120223999024,0.9314285714285714,2.855347914287022,3.1509370656694684,0.0022857142857142243,0.014089388438633499,0.0048250432695660095
dnsmos,mahalanobis,0.3,20270001,nisqa_train_live,750,1020,0.9911764705882353,2.8412585258483887,2.8582144695169784,0.9931372549019608,2.8192180322665794,2.8366006750686497,0.0019607843137254832,-0.022040493581809262,-0.021613794448328782
dnsmos,mahalanobis,0.3,20270001,nisqa_val_live,750,200,1.0,2.8412585258483887,2.8412585258483887,1.0,2.8314944207668304,2.8314944207668304,0.0,-0.009764105081558228,-0.009764105081558228
dnsmos,mahalanobis,0.3,20270001,nisqa_test_for,750,240,0.9125,2.8412585258483887,3.2184796730677285,0.925,2.846040744582812,3.1924983153740567,0.012500000000000067,0.004782218734423527,-0.025981357693671825
dnsmos,mahalanobis,0.3,20270001,nisqa_test_livetalk,750,232,0.9525862068965517,2.8412585258483887,3.0706495704322028,0.9525862068965517,2.8015696221384507,3.0454638949755966,0.0,-0.03968890370993794,-0.025185675456606216
dnsmos,mahalanobis,0.3,20270001,nisqa_test_p501,750,240,0.8916666666666667,2.8412585258483887,3.224944273630778,0.8958333333333334,2.851048359274864,3.215279280145963,0.004166666666666652,0.009789833426475436,-0.009664993484814755
dnsmos,l2,0.3,20270001,nisqa_val_sim,750,1750,0.9291428571428572,2.8412585258483887,3.1461120223999024,0.932,2.849074647358486,3.13715873336792,0.0028571428571428914,0.00781612151009714,-0.008953289031982337
dnsmos,l2,0.3,20270001,nisqa_train_live,750,1020,0.9911764705882353,2.8412585258483887,2.8582144695169784,0.9901960784313726,2.78602218207191,2.8083435021194756,-0.0009803921568627416,-0.05523634377647868,-0.04987096739750285
dnsmos,l2,0.3,20270001,nisqa_val_live,750,200,1.0,2.8412585258483887,2.8412585258483887,1.0,2.7945845317840576,2.7945845317840576,0.0,-0.04667399406433104,-0.04667399406433104
dnsmos,l2,0.3,20270001,nisqa_test_for,750,240,0.9125,2.8412585258483887,3.2184796730677285,0.9208333333333333,2.8613586286703745,3.1772689878940583,0.008333333333333304,0.02010010282198582,-0.041210685173670214
dnsmos,l2,0.3,20270001,nisqa_test_livetalk,750,232,0.9525862068965517,2.8412585258483887,3.0706495704322028,0.9525862068965517,2.803961786730536,3.0538941231267205,0.0,-0.037296739117852695,-0.016755447305482285
dnsmos,l2,0.3,20270001,nisqa_test_p501,750,240,0.8916666666666667,2.8412585258483887,3.224944273630778,0.8958333333333334,2.8538587470849355,3.185510285695394,0.004166666666666652,0.012600221236546805,-0.039433987935383996
dnsmos,knn,0.3,20270001,nisqa_val_sim,750,1750,0.9291428571428572,2.8412585258483887,3.1461120223999024,0.928,2.8326646090916223,3.1458180967058453,-0.0011428571428571122,-0.008593916756766351,-0.00029392569405706226
dnsmos,knn,0.3,20270001,nisqa_train_live,750,1020,0.9911764705882353,2.8412585258483887,2.8582144695169784,0.9931372549019608,2.821305498422361,2.8398532460717596,0.0019607843137254832,-0.01995302742602778,-0.018361223445218844
dnsmos,knn,0.3,20270001,nisqa_val_live,750,200,1.0,2.8412585258483887,2.8412585258483887,1.0,2.8264211225509643,2.8264211225509643,0.0,-0.014837403297424334,-0.014837403297424334
dnsmos,knn,0.3,20270001,nisqa_test_for,750,240,0.9125,2.8412585258483887,3.2184796730677285,0.9166666666666666,2.833150335152944,3.212572383880615,0.004166666666666652,-0.008108190695444772,-0.005907289187113474
dnsmos,knn,0.3,20270001,nisqa_test_livetalk,750,232,0.9525862068965517,2.8412585258483887,3.0706495704322028,0.9482758620689655,2.822843683177027,3.0584517799574753,-0.004310344827586188,-0.01841484267136151,-0.012197790474727466
dnsmos,knn,0.3,20270001,nisqa_test_p501,750,240,0.8916666666666667,2.8412585258483887,3.224944273630778,0.8875,2.8244631508986155,3.2159381926059725,-0.004166666666666763,-0.016795374949773123,-0.009006081024805379
dnsmos,mahalanobis,0.3,20270002,nisqa_val_sim,750,1750,0.8937142857142857,2.7206335067749023,3.19730475970677,0.896,2.7197988530567714,3.1950558941704887,0.0022857142857143353,-0.0008346537181309621,-0.0022488655362811194
