model,score,dataset,n_bins,metric,fixed,adaptive,adaptive_minus_fixed,ci_lo,ci_hi,n_boot
dnsmos,mahalanobis,nisqa_val_sim,5,coverage,0.9016,0.9008,-0.0007999999999999119,-0.016000000000000014,0.018399999999999972,2000
dnsmos,mahalanobis,nisqa_val_sim,5,width,2.741448402404785,2.730152508163452,-0.011295894241333038,-0.05863041434288032,0.05070831511020649,2000
dnsmos,mahalanobis,nisqa_val_sim,5,interval_score,3.1452769622802736,3.1447600025177,-0.0005169597625735989,-0.020387057008742958,0.05121645829200738,2000
dnsmos,mahalanobis,nisqa_train_live,5,coverage,0.9901960784313726,0.9862745098039216,-0.0039215686274509665,-0.015783284807728327,0.0009756335746951227,2000
dnsmos,mahalanobis,nisqa_train_live,5,width,2.741448402404785,2.627627398219763,-0.11382100418502228,-0.23347993242500226,-0.008061601024773593,2000
dnsmos,mahalanobis,nisqa_train_live,5,interval_score,2.7678904323016895,2.6671811339901943,-0.10070929831149522,-0.19145949181336436,-0.0038996723034474792,2000
dnsmos,mahalanobis,nisqa_val_live,5,coverage,1.0,0.995,-0.0050000000000000044,-0.015000000000000013,0.0,2000
dnsmos,mahalanobis,nisqa_val_live,5,width,2.741448402404785,2.627308430671692,-0.11413997173309332,-0.22434399663799953,-0.015246771663410924,2000
dnsmos,mahalanobis,nisqa_val_live,5,interval_score,2.741448402404785,2.628456094264984,-0.11299230813980099,-0.21052472270193434,-0.015246771663410924,2000
dnsmos,mahalanobis,nisqa_test_for,5,coverage,0.9,0.8791666666666667,-0.02083333333333337,-0.04166666666666674,0.016666666666666607,2000
dnsmos,mahalanobis,nisqa_test_for,5,width,2.741448402404785,2.6688890526692073,-0.07255934973557787,-0.1583831480890512,0.005040116459131062,2000
dnsmos,mahalanobis,nisqa_test_for,5,interval_score,3.2149482369422913,3.1765133013327915,-0.03843493560949973,-0.11195196789999812,0.055866904606421616,2000
dnsmos,mahalanobis,nisqa_test_livetalk,5,coverage,0.9439655172413793,0.9353448275862069,-0.008620689655172487,-0.04741379310344829,0.008620689655172487,2000
dnsmos,mahalanobis,nisqa_test_livetalk,5,width,2.741448402404785,2.6307856039754274,-0.11066279842935778,-0.24374183079805867,-0.009618365918767822,2000
dnsmos,mahalanobis,nisqa_test_livetalk,5,interval_score,3.0247975793378106,2.9814235023383437,-0.043374076999466826,-0.12106147341687125,0.03179873667400469,2000
dnsmos,mahalanobis,nisqa_test_p501,5,coverage,0.8583333333333333,0.8708333333333333,0.012500000000000067,-0.025000000000000022,0.033333333333333326,2000
dnsmos,mahalanobis,nisqa_test_p501,5,width,2.741448402404785,2.7245945701996486,-0.016853832205136587,-0.07860322338839372,0.049836960583925255,2000
dnsmos,mahalanobis,nisqa_test_p501,5,interval_score,3.250893364350001,3.2782903581857683,0.027396993835767436,-0.05524824351072296,0.13787163183093065,2000
dnsmos,l2,nisqa_val_sim,5,coverage,0.9016,0.908,0.006400000000000072,-0.013599999999999949,0.019199999999999995,2000
dnsmos,l2,nisqa_val_sim,5,width,2.741448402404785,2.7719776889801024,0.030529286575317283,-0.040990674142837566,0.07935684813976299,2000
dnsmos,l2,nisqa_val_sim,5,interval_score,3.1452769622802736,3.142981967163086,-0.0022949951171877814,-0.027729773020744496,0.048232242803573494,2000
dnsmos,l2,nisqa_train_live,5,coverage,0.9901960784313726,0.9872549019607844,-0.002941176470588225,-0.012795590745122357,0.0,2000
dnsmos,l2,nisqa_train_live,5,width,2.741448402404785,2.705122247396731,-0.03632615500805425,-0.15889696306437937,0.025682686657538277,2000
dnsmos,l2,nisqa_train_live,5,interval_score,2.7678904323016895,2.7393449601005107,-0.028545472201178868,-0.12112953176911034,0.02495018797246881,2000
dnsmos,l2,nisqa_val_live,5,coverage,1.0,0.995,-0.0050000000000000044,-0.015000000000000013,0.0,2000
dnsmos,l2,nisqa_val_live,5,width,2.741448402404785,2.699572117328644,-0.04187628507614116,-0.154981484324926,0.021328203903071098,2000
dnsmos,l2,nisqa_val_live,5,interval_score,2.741448402404785,2.700566370487213,-0.040882031917572004,-0.14394414875764955,0.021328203903071098,2000
dnsmos,l2,nisqa_test_for,5,coverage,0.9,0.9208333333333333,0.02083333333333326,-0.012499999999999956,0.04583333333333328,2000
dnsmos,l2,nisqa_test_for,5,width,2.741448402404785,2.776376755038897,0.03492835263411198,-0.04000824520985271,0.08958260675271362,2000
dnsmos,l2,nisqa_test_for,5,interval_score,3.2149482369422913,3.1378866444031397,-0.07706159253915157,-0.16795234543581788,0.007526736309131108,2000
dnsmos,l2,nisqa_test_livetalk,5,coverage,0.9439655172413793,0.9439655172413793,0.0,-0.030172413793103425,0.012931034482758674,2000
dnsmos,l2,nisqa_test_livetalk,5,width,2.741448402404785,2.7118446960531433,-0.02960370635164189,-0.13394427630921896,0.024526255346577507,2000
dnsmos,l2,nisqa_test_livetalk,5,interval_score,3.0247975793378106,2.99911600248567,-0.025681576852140786,-0.10713411895879385,0.042265600454190706,2000
dnsmos,l2,nisqa_test_p501,5,coverage,0.8583333333333333,0.8791666666666667,0.02083333333333337,-0.02083333333333326,0.050000000000000044,2000
dnsmos,l2,nisqa_test_p501,5,width,2.741448402404785,2.765038991967837,0.02359058956305171,-0.056662162666519335,0.07997208381692553,2000
dnsmos,l2,nisqa_test_p501,5,interval_score,3.250893364350001,3.186216359337171,-0.0646770050128298,-0.16090053424239165,0.03579249138633421,2000
dnsmos,knn,nisqa_val_sim,5,coverage,0.9016,0.9072,0.005600000000000049,-0.013599999999999945,0.019199999999999995,2000
dnsmos,knn,nisqa_val_sim,5,width,2.741448402404785,2.7201322315216063,-0.02131617088317883,-0.07088175429821007,0.04863695574760448,2000
dnsmos,knn,nisqa_val_sim,5,interval_score,3.1452769622802736,3.1477351768493653,0.002458214569091677,-0.02184948504447922,0.05931537423610658,2000
dnsmos,knn,nisqa_train_live,5,coverage,0.9901960784313726,0.9872549019607844,-0.002941176470588225,-0.017699115044247815,0.0009813542688910104,2000
dnsmos,knn,nisqa_train_live,5,width,2.741448402404785,2.6288448277641745,-0.11260357464061066,-0.2480823558285214,-0.00017836138236304938,2000
dnsmos,knn,nisqa_train_live,5,interval_score,2.7678904323016895,2.6705048327352485,-0.097385599566441,-0.2008998148361062,9.425043143781833e-05,2000
dnsmos,knn,nisqa_val_live,5,coverage,1.0,1.0,0.0,-0.014927238805970192,0.0,2000
dnsmos,knn,nisqa_val_live,5,width,2.741448402404785,2.6327654409408567,-0.10868296146392842,-0.24737529495704874,-8.237451819082606e-05,2000
dnsmos,knn,nisqa_val_live,5,interval_score,2.741448402404785,2.6327654409408567,-0.10868296146392842,-0.2365473459757382,-8.237451819082606e-05,2000
dnsmos,knn,nisqa_test_for,5,coverage,0.9,0.875,-0.025000000000000022,-0.04583333333333328,0.012500000000000067,2000
dnsmos,knn,nisqa_test_for,5,width,2.741448402404785,2.6665815989176433,-0.07486680348714181,-0.16613662829001752,0.013749957829713957,2000
dnsmos,knn,nisqa_test_for,5,interval_score,3.2149482369422913,3.21243103146553,-0.002517205476761042,-0.07681612350046638,0.1062734773755073,2000
dnsmos,knn,nisqa_test_livetalk,5,coverage,0.9439655172413793,0.9396551724137931,-0.004310344827586188,-0.03448275862068961,0.012931034482758563,2000
dnsmos,knn,nisqa_test_livetalk,5,width,2.741448402404785,2.6421929638961266,-0.09925543850865859,-0.22747419756548137,0.004541520517448077,2000
dnsmos,knn,nisqa_test_livetalk,5,interval_score,3.0247975793378106,2.985321509427038,-0.03947606991077279,-0.12349847560298845,0.022223092358687777,2000
dnsmos,knn,nisqa_test_p501,5,coverage,0.8583333333333333,0.8666666666666667,0.008333333333333415,-0.02083333333333337,0.03749999999999998,2000
dnsmos,knn,nisqa_test_p501,5,width,2.741448402404785,2.7254631797472637,-0.015985222657521447,-0.06990231240789076,0.06585544536511106,2000
dnsmos,knn,nisqa_test_p501,5,interval_score,3.250893364350001,3.273760743935903,0.022867379585902015,-0.057417063017686086,0.13290100708603836,2000
